"imdb_id"	"tmdb_id"	"primaryTitle"	"mainGenre"	"genres"	"isAdult"	"releaseYear"	"releaseDate"	"overview"	"tagline"	"budget"	"revenue"	"averageRating"	"numVotes"
"tt0034419"	432553	"Az ördög nem alszik"	"Comedy"	"Comedy"	"0"	1941	1941-10-16	""	""	0	0	6.6	21
"tt0034420"	242667	"'Neath Brooklyn Bridge"	"Comedy"	"Comedy,Drama,Romance"	"0"	1942	1942-11-20	"The East Side Kids find a young girl in the apartment of a man who has just been murdered. Believing her to be innocent, they hide her in their clubhouse while they try to find the real killer. The killer, however, used a baseball bat as his murder weapon, and the bat has the fingerprints of one of the gang on it."	"PATHOS! ACTION! LAUGHS! - THE EAST SIDE KIDS AT THEIR BEST !"	0	0	7.2	549
"tt0034422"	65574	"A che servono questi quattrini?"	"Comedy"	"Comedy"	"0"	1942	1942-01-01	""	""	0	0	7.1	26
"tt0034423"	206725	"¡A mí la legión!"	"Comedy"	"Drama"	"0"	1942	1942-05-11	"In North Africa, in a detachment of the Legion (the 4th Flag), the Grajo, the legionary more courageous, and Mauro, who just joined, become close friends. Mauro, who only know the name, it seems to hide secrets disturbing. One day when the two friends held a party, an unfortunate circumstance leads to the death of a man. Suspicion falls on Mauro, who stands trial. Meanwhile, the Grajo start to investigate the facts on his own ..."	""	0	0	4.7	49
"tt0034424"	61524	"A-Haunting We Will Go"	"Comedy"	"Comedy"	"0"	1942	1942-08-07	"Stan and Ollie get involved with con men, crooks, a genial magician, and two interchangeable coffins with disastrous but funny results."	""	0	0	6.4	794
"tt0034428"	18790	"Across the Pacific"	"Action"	"Action,Adventure,Drama"	"0"	1942	1942-09-05	"Rick Leland makes no secret of the fact he has no loyalty to his home country after he is court-marshaled out of the army and boards a Japanese ship for the Orient in late 1941. But has Leland really been booted out, or is there some other motive for his getting close to fellow passenger Doctor Lorenz? Any motive for getting close to attractive traveller Alberta Marlow would however seem pretty obvious."	"Boy! when BOGART boffs those Japs... or when he kisses MARY ASTOR you can feel it"	0	0	6.9	3556
"tt0034431"	97577	"The Adventures of Martin Eden"	"Action"	"Adventure"	"0"	1942	1942-02-26	"Author writes about his experiences sailing at sea, struggles to get his work published."	""	0	0	6.6	55
"tt0034432"	252376	"The Affairs of Jimmy Valentine"	"Comedy"	"Comedy,Crime,Drama"	"0"	1942	1942-03-27	"A New York radio personality travels to the small town of Fernville, Indiana in an attempt to uncover a notorious safecracker, believed to be masquerading as one of the town's upstanding citizens."	""	0	0	6.5	64
"tt0034433"	219424	"The Affairs of Martha"	"Comedy"	"Comedy,Romance"	"0"	1942	1942-06-21	"Members of a well-to-do small community become worried when it is revealed that one of their maids is writing a telling exposé."	"It happened on the maid's night out!"	0	0	6.6	247
"tt0034434"	236844	"Africa, Prelude to Victory"	"Comedy"	"Documentary"	"0"	1943	1942-01-01	"Oscar nominated 1942 documentary"	""	0	0	5.7	6
"tt0034435"	221723	"Afsporet"	"Crime"	"Crime,Drama,Romance"	"0"	1942	1942-02-19	"A young woman of good family is driven into one of thieves and prostitutes and ends in suicide."	""	0	0	6.8	68
"tt0034439"	122580	"Ala-Arriba!"	"Drama"	"Drama,Romance"	"0"	1942	1942-09-21	"It focuses on maritime tragedy of the town and a forbidden love between Julha (Elsa Bela-Flor) and João Moço (Domingos Gonçalves), from different fisher castes, in a community where mixed-caste marriages were not allowed[1] and dating without parent's assent was seen as a disgrace to the family, not only in respect to women, but also men."	""	0	0	7.2	70
"tt0034441"	166063	"La aldea maldita"	"Drama"	"Drama"	"0"	1942	1942-11-23	"A story about poverty, honour and forgiving."	""	0	0	6.6	60
"tt0034443"	278308	"Alexander Parkhomenko"	"Biography"	"Biography,Drama,War"	"0"	1942	1942-07-20	"Directed by Leonid Lukov."	""	0	0	7.4	41
"tt0034444"	317023	"Alfa Tau!"	"Biography"	"War"	"0"	1942	1942-01-10	"Venice Film Festival 1942"	""	0	0	7.8	37
"tt0034445"	50637	"Alias Boston Blackie"	"Drama"	"Drama,Mystery"	"0"	1942	1942-04-02	"It is the Christmas Holidays and reformed thief, Boston Blackie goes to Castle Theater to pick up players who will perform for prisoners that are still in prison. He takes a girl with him who has a brother already in prison. She has visited the prison twice in the month, so is not suppose to visit again. However when the group is completed the girl is included as well as Inspector Farrady. One of the clowns in the show is kidnapped and replaced by a con who wants to get even with two ex-partners. Boston Blackie figures out that a con has replaced one of his clowns but is unable to stop him. Blackie's clothes are stolen and a murder is committed. Of course, the Inspector immediately suspects Blackie of being involved. Now it is Blackie's job to find the killer, exonerate himself and help the girl free her brother."	"Blackie's got an eye-full of alibi... but cops don't believe in looks!"	0	0	6.6	351
"tt0034446"	137352	"Alibi"	"Crime"	"Crime,Mystery"	"0"	1942	1942-08-10	"In 1930s France a bar hostess (Margaret Lockwood) helps a man (James Mason) prove himself innocent of murder."	""	0	0	6.9	30
"tt0034449"	37036	"All Through the Night"	"Action"	"Action,Comedy,Crime"	"0"	1942	1941-12-02	"Broadway gambler 'Gloves' Donahue wants to find who killed the baker of his favorite cheesecake. He sees nightclub singer Leda Hamilton leaving the bakery. When her boss Marty's partner Joe is murdered, Leda and her accompanist Pepi disappear. It turns out that beneath all the mystery is a gang of Nazi operatives planning to blow up a battleship in New York harbor."	"Killer Bogart takes the Gestapo for a ride!"	0	0	7.1	2973
"tt0034453"	445226	"Along the Sundown Trail"	"Music"	"Music,Western"	"0"	1942	1942-10-10	"PRC's shoddy Frontier Marshal series came to a merciful end with this below-average Western starring radio personalities Bill \"Cowboy Rambler\" Boyd and Art Davis and former serial ace Lee Powell. They come to the aid of miner Pop Lawrence (Karl Hackett) and his daughter, Susan (Julie Duncan), whose foreman (Jack Ingram) is stealing tungsten ore on behalf of saloon proprietor Big Ben Salter (Charles King). Pop's son and heir, Joe (Howard Masters), is framed in his father's killing by the nefarious Big Ben, who wants to get his greedy hands on Susan's inheritance, the Paradise Mine. Marshal Powell and his two rather inactive sidekicks are unable to save Joe's life and the film ends on a rather downbeat note with Susan the only Lawrence left standing."	""	0	0	4.6	7
"tt0034454"	97767	"Always in My Heart"	"Drama"	"Drama,Musical"	"0"	1942	1942-03-14	"A man is pardoned from prison and returns to Santa Rita, CA to be with his family, but discovers his children have been told he's dead and his wife is in love with another man."	""	0	0	6.5	320
"tt0034455"	22354	"American Empire"	"Drama"	"Western"	"0"	1942	1942-12-11	"Richard Dix as Dan Taylor and Preston S. Foster as Paxton Bryce are two longtime friends seeking their fortune in Texas after the war. The two men decide, not without problems, to establish a cattle empire. Paxton becoming too ambitious, distances himself from Dan and Abby, Paxton's wife. It will only be after a personal tragedy that he will come back to his senses."	"THE THUNDERING THRILLING SAGA OF THE WINNING OF THE WEST!"	0	0	5.6	184
"tt0034458"	43167	"Andy Hardy's Double Life"	"Comedy"	"Comedy,Family,Romance"	"0"	1942	1942-12-01	"Andy (Mickey Rooney) is about to head off to college but he's got a few things to take care of before leaving. For starters, he must try and sell his junk car for $20 to pay for a bill and he must convince his father (Lewis Stone) not to go with him to college. Worst of all is that Polly (Ann Rutherford) wants to make up but her best friend (Ester Williams) decides to give Andy a test."	"IT'S A ROMANTIC BATTLE-ROYAL!"	0	0	6.7	395
"tt0034461"	81210	"Aniki Bóbó"	"Drama"	"Drama,Family"	"0"	1942	1942-12-19	"It is Manoel de Oliveira's first feature-length film. Mostly children, from Oliveira's hometown, Porto, play in its story. Aniki-Bóbó is a rhyme from a children's game, akin to Eeny, meeny, miny, moe. The film was not very well received, but with time it gained recognition and was finally accepted as one of the most important Portuguese films of its time. In several respects, this film seems to anticipate Italian neorealism. No other feature film was directed by Oliveira in the next 21 years."	""	0	0	7.8	1293
"tt0034465"	60488	"Arabian Nights"	"Action"	"Action,Adventure"	"0"	1942	1942-12-25	"Jon Hall, Maria Montez and Sabu star in this lush, epic story of two half brothers who battle each other for the power of the throne and the love of a sensual, gorgeous dancing girl, Scheherazade"	"Dashing Thieves of Baghdad...riding out of the magic and splendor of Arabian Nights"	0	0	6.2	965
"tt0034467"	248260	"Are Husbands Necessary?"	"Action"	"Comedy"	"0"	1942	1942-06-15	"George and Mary Elizabeth Cugat are about to celebrate their second wedding anniversary and dream of having a child. Although they live comfortably on George's earnings as a bank official, Liz's scatterbrained handling of their finances constantly puts them in jeopardy. Liz becomes jealous when George's former girl friend, Myra Ponsonby, comes for a visit with his party-loving friends Bill Stone, Cory Cartwright and Chuck, an artist, after which George spends the entire evening dancing at a nightclub with Myra."	""	0	0	6.2	28
"tt0034468"	290622	"Arizona Round-Up"	"Action"	"Action,Comedy,Music"	"0"	1942	1942-06-03	"Tom Kenyon and his sidekick Pierre La Farge are hired by rancher Mike O'Day who, with his daughters Toni and Sugar, provides wild horses for the government remount station."	"Tom gets the most dangerous assignment any undercover man has ever had!"	0	0	5.4	16
"tt0034469"	37459	"Arizona Stage Coach"	"Action"	"Action,Adventure,Comedy"	"0"	1942	1942-09-04	"In the midst of some friendly horseplay on their \"Flying R\" ranch, the Range Busters, Crash Corrigan, Dusty King and Alibi Terhune, are sobered by the arrival of a buckboard bearing their old friend Larry Meadows and his niece Dorrie Willard. Meadows seeks their aid against a gang of outlaws terrorizing his town. Ernie Willard, Dorrie's brother, has been taken in by Tex Laughlin who is using the Willard ranch as an undercover for his real occupation as a member of a gang of outlaws led by Tim Douglas, a supposed friend of the Willards."	"Good guys vs. bad guys in the Old West."	0	0	5.4	92
"tt0034470"	342393	"Arizona Terrors"	"Action"	"Action,Adventure,Romance"	"0"	1942	1942-01-13	"Madden has forged a phony Spanish land grant and gets crooked gambler Halliday to pose as the heir...."	"ACTION As 'Red' Rides The Thrill Trail!"	0	0	6.4	11
"tt0034471"	138116	"L'arlésienne"	"Action"	"Drama"	"0"	1942	1942-09-04	""	""	0	0	7.3	18
"tt0034473"	316462	"Army Surgeon"	"Drama"	"Drama,Romance,War"	"0"	1942	1942-12-04	"Drama about military doctors and nurses during wartime."	"We're Working For Uncle Sam, Too--- Buy War Bonds And Stamps At This Theatre"	0	0	5.8	55
"tt0034476"	445067	"Asking for Trouble"	"Comedy"	"Comedy"	"0"	1942	1942-09-01	"A London fishmonger helps a young woman evade her unwanted upcoming marriage by pretending to be her fiancé, a big game hunter from Africa. Comedy."	""	0	0	6.1	10
"tt0034477"	66017	"L'assassin a peur la nuit"	"Comedy"	"Crime"	"0"	1942	1942-09-02	""	""	0	0	6.2	61
"tt0034478"	74402	"The Murderer Lives at Number 21"	"Comedy"	"Comedy,Crime,Mystery"	"0"	1942	1942-08-07	"Inspector Wens moves into a Paris boarding house to catch a serial killer."	""	0	0	7.5	2073
"tt0034479"	302789	"Love in Jalisco"	"Drama"	"Drama,Romance"	"0"	1942	1942-11-13	"Romantic triangle, land-owner and two employees."	""	0	0	7.1	26
"tt0034480"	99232	"Atlantic Convoy"	"Drama"	"Drama,Romance,War"	"0"	1942	1942-07-02	"American naval forces are using a port in Iceland as a base for anti-submarine patrols to protect North Atlantic convoys from Nazi subs. The Nazis send undercover agents into the port in a scheme to blow up the entrance to the harbor and keep the patrols blocked in. The officers in charge of the patrols have to find the spies and stop them before they achieve their objective."	"BLASTING THE U-BOATS FROM THE SEAS!"	0	0	6.2	40
"tt0034481"	257438	"Before the Postman"	"Comedy"	"Comedy,Romance"	"0"	1942	1942-04-30	"A funny bus driver helps out a jobless girl in wartime Rome."	""	0	0	6.7	49
"tt0034484"	294383	"Jalisco, Don't Backslide"	"Comedy"	"Comedy,Drama,Musical"	"0"	1941	1941-11-12	"Little boy grows up to avenge his murdered father."	""	0	0	7.4	38
"tt0034485"	43790	"Babes on Broadway"	"Comedy"	"Comedy,Musical,Romance"	"0"	1941	1941-12-31	"Penny Morris and Tommy Williams are both starstruck young teens but nobody seems to give them any chance to perform. Instead they decide to put up their own show to collect money for a summer camp for the kids."	"The Show That's Out Of This World"	0	0	6.8	1133
"tt0034486"	79973	"Baby Face Morgan"	"Comedy"	"Comedy,Crime,Romance"	"0"	1942	1942-09-15	"This homey little comedy is predicated on the notion that bucolic country boy Morgan (Richard Cromwell) is the son of a notorious Roaring-Twenties racketeer. Morgan Senior's former gang, pining for their glory days, appoint \"Baby Face\" Morgan as their leader and resume their criminal activities. Their strategy is sublime: with the FBI busily beating the bushes for Nazi spies, who's going to pay attention to a bunch of middle-aged Prohibition gangsters? Unaware that he's being used as a figurehead, Morgan gets mixed up in a crooked insurance scheme, but by film's end he's figured out a way to clear himself and the mob, with everyone learning a lesson in the process. Reviewers in 1942 were amused by Baby Face Morgan but deplored its threadbare production values, noting that at one point the klieg lights could be seen reflecting on the bald dome of supporting player Vince Barnett!"	"It's a Shocker! Thriller! and a Laugh!"	0	0	5.2	166
